ID,Group,DefaultVeg,DefaultMeat,Default_Selection,Diet,Diet_4_TEXT,AgeGroup,Gender,Race,Race_6_TEXT,Hispanic,Employment,MealServed,Satisfaction,Plant_Importance,Plant_Importance_Why,Plant_Importance_Why_8_TEXT
1,DefaultMeat,Switch to a plant-based meal,,Other,,25-34 years old,Female,White,,Non-Hispanic/Non-Latinx,Staff,,,,,,
2,DefaultMeat,Stay with the meal with meat,,None of the above,,25-34 years old,Female,White,,Non-Hispanic/Non-Latinx,Staff,,,,,,
3,DefaultMeat,Switch to a plant-based meal,,Pescatarian,,35-44 years old,Female,White,,Non-Hispanic/Non-Latinx,Staff,,Plant-based meal,Very satisfied,Very important,Environmental impact,
4,DefaultMeat,Stay with the meal with meat,,None of the above,,45-54 years old,Male,White,,Non-Hispanic/Non-Latinx,Staff,,,,,,
5,DefaultMeat,Stay with the meal with meat,,None of the above,,45-54 years old,Female,Asian,,Non-Hispanic/Non-Latinx,Staff,,,,,,
6,DefaultMeat,Stay with the meal with meat,,None of the above,,35-44 years old,Female,White,,Non-Hispanic/Non-Latinx,Staff,,,,,,
7,DefaultMeat,Stay with the meal with meat,,None of the above,,25-34 years old,Female,White,,Non-Hispanic/Non-Latinx,Staff,,Meal with meat,Very satisfied,Not too important,,
8,DefaultMeat,Stay with the meal with meat,,Other,Gluten free,25-34 years old,Female,White,,Non-Hispanic/Non-Latinx,Staff,,Meal with meat,Unsatisfied,Not important,,
9,DefaultMeat,Stay with the meal with meat,,Other,Carnivore,45-54 years old,Male,White,,Non-Hispanic/Non-Latinx,Staff,,,,,,
10,DefaultMeat,Stay with the meal with meat,,None of the above,,25-34 years old,Male,White,,Non-Hispanic/Non-Latinx,Staff,,,,,,
11,DefaultMeat,Switch to a plant-based meal,,Pescatarian,,45-54 years old,Female,White,,Non-Hispanic/Non-Latinx,Staff,,Plant-based meal,Neither satisfied nor unsatisfied,Important,Environmental impact,
12,DefaultMeat,Stay with the meal with meat,,None of the above,,35-44 years old,Female,White,,Hispanic/Latinx,Staff,,,,,,
13,DefaultMeat,Stay with the meal with meat,,None of the above,,45-54 years old,Male,White,,Non-Hispanic/Non-Latinx,Staff,,Meal with meat,Very satisfied,Not too important,,
14,DefaultMeat,Stay with the meal with meat,,None of the above,,25-34 years old,Female,White,,Non-Hispanic/Non-Latinx,Staff,,,,,,
15,DefaultMeat,Stay with the meal with meat,,None of the above,,55-64 years old,Prefer not to say,Prefer not to say,,Prefer not to say,Staff,,Meal with meat,Very satisfied,Not important,,
16,DefaultMeat,Switch to a plant-based meal,,Pescatarian,,35-44 years old,Female,White,,,Staff,,Plant-based meal,Very satisfied,Very important,Support of animal welfare,
17,DefaultMeat,Stay with the meal with meat,,None of the above,,25-34 years old,Female,,,Hispanic/Latinx,Staff,,Meal with meat,Neither satisfied nor unsatisfied,Important,Support of animal welfare,
18,DefaultMeat,Switch to a plant-based meal,,None of the above,,25-34 years old,Female,White,,Hispanic/Latinx,Staff,,,,,,
19,DefaultMeat,Switch to a plant-based meal,,Pescatarian,,35-44 years old,Male,Black of African American,,Non-Hispanic/Non-Latinx,Staff,,,,,,
20,DefaultMeat,Stay with the meal with meat,,None of the above,,35-44 years old,Female,White,,Hispanic/Latinx,Staff,,Meal with meat,Satisfied,Important,Environmental impact,
21,DefaultMeat,Stay with the meal with meat,,None of the above,,25-34 years old,Male,Prefer not to say,,Hispanic/Latinx,Staff,,,,,,
22,DefaultVeg,,Switch to a meal with meat,None of the above,,25-34 years old,Female,White,,Non-Hispanic/Non-Latinx,Staff,,,,,,
23,DefaultVeg,,Stay with the plant-based meal,None of the above,,35-44 years old,Female,White,,Non-Hispanic/Non-Latinx,Staff,,Plant-based meal,Very satisfied,Not too important,,
24,DefaultVeg,,Switch to a meal with meat,None of the above,,25-34 years old,Female,Other,Multi,Hispanic/Latinx,Staff,,Meal with meat,Very satisfied,Not important,,
25,DefaultVeg,,Stay with the plant-based meal,None of the above,,18-24 years old,Female,White,,Non-Hispanic/Non-Latinx,Staff,,,,,,
26,DefaultVeg,,Stay with the plant-based meal,Other,I have gluten and dairy allergies,45-54 years old,Female,White,,,Staff,,,,,,
27,DefaultVeg,,Switch to a meal with meat,None of the above,,25-34 years old,Male,White,,Non-Hispanic/Non-Latinx,Staff,,Meal with meat,Neither satisfied nor unsatisfied,Not important,,
28,DefaultVeg,,Stay with the plant-based meal,None of the above,,25-34 years old,Female,White,,Non-Hispanic/Non-Latinx,Staff,,,,,,
29,DefaultVeg,,Switch to a meal with meat,Other,Carnivore all the way!,65-74 years old,Female,White,,Non-Hispanic/Non-Latinx,Staff,,,,,,
30,DefaultVeg,,Switch to a meal with meat,None of the above,,25-34 years old,Male,White,,Hispanic/Latinx,Staff,,Meal with meat,Satisfied,Not too important,,
31,DefaultVeg,,Switch to a meal with meat,None of the above,,55-64 years old,Female,White,,Hispanic/Latinx,Staff,,,,,,
32,DefaultVeg,,Stay with the plant-based meal,Vegetarian,,45-54 years old,Female,White,,Non-Hispanic/Non-Latinx,Staff,,Plant-based meal,Neither satisfied nor unsatisfied,Very important,Health,
33,DefaultVeg,,Stay with the plant-based meal,None of the above,,55-64 years old,Female,White,,Non-Hispanic/Non-Latinx,Staff,,Plant-based meal,Very satisfied,Not too important,,
34,DefaultVeg,,Stay with the plant-based meal,None of the above,,25-34 years old,Female,Other,,Non-Hispanic/Non-Latinx,Staff,,Plant-based meal,Satisfied,Not too important,,
35,DefaultVeg,,Stay with the plant-based meal,Pescatarian,,35-44 years old,Female,White,,Non-Hispanic/Non-Latinx,Staff,,,,,,
36,DefaultVeg,,Switch to a meal with meat,None of the above,,18-24 years old,Female,White,,Non-Hispanic/Non-Latinx,Staff,,Meal with meat,Satisfied,Not important,,
37,DefaultVeg,,Switch to a meal with meat,None of the above,,35-44 years old,Male,White,,Non-Hispanic/Non-Latinx,Staff,,,,,,
38,DefaultVeg,,Switch to a meal with meat,None of the above,,45-54 years old,Female,White,,Non-Hispanic/Non-Latinx,Staff,,,,,,
39,DefaultVeg,,Switch to a meal with meat,None of the above,,35-44 years old,Male,White,,Non-Hispanic/Non-Latinx,Staff,,Meal with meat,Satisfied,Not important,,
40,DefaultVeg,,Stay with the plant-based meal,None of the above,,55-64 years old,Female,,,,,,Plant-based meal,Very satisfied,Not important,,
41,DefaultVeg,,Switch to a meal with meat,,,,,,,,,,,,,,
42,DefaultVeg,,Switch to a meal with meat,,,,,,,,,,,,,,
43,DefaultVeg,,Stay with the plant-based meal,,,,,,,,,,,,,,
44,DefaultVeg,,Switch to a meal with meat,,,,,,,,,,Meal with meat,Unsatisfied,Very important,Health,
45,DefaultMeat,Stay with the meal with meat,,,,,,,,,,,Meal with meat,Very satisfied,Not important,,
46,DefaultMeat,Stay with the meal with meat,,,,,,,,,,,Meal with meat,Satisfied,Not too important,,
